"test_number","actions_until_now","board_cards","current_action_options","current_user_position","human_updateactions_until_now","human_updateboard_cards","human_updatecurrent_action_options","human_updatecurrent_user_position","human_updateplayer_hand","image_url","player_hand"
"68620492","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Raise', 'bet_size': 13}, {'position': 'CO', 'action': 'Call', 'bet_size': None}, {'position': 'BB', 'action': 'Bet', 'bet_size': 13.25}]""","""[{'rank': 'K', 'suit': 'hearts'}, {'rank': '9', 'suit': 'spades'}, {'rank': '9', 'suit': 'clubs'}]""","""[{'action': 'Fold', 'frequency': 14.7}, {'action': 'Call', 'frequency': 85}, {'action': 'Raise 31.8', 'frequency': 0.3}, {'action': 'Raise 42.4', 'frequency': 0}, {'action': 'All-in 87', 'frequency': 0}]""","CO","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.22.10.png","""[{'rank': 'T', 'suit': 'hearts'}, {'rank': 'T', 'suit': 'diamonds'}]"""
"28304251","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Call', 'bet_size': 100}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 7.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}]""","""[{'rank': 'A', 'suit': 'hearts'}, {'rank': 'K', 'suit': 'spades'}, {'rank': '8', 'suit': 'clubs'}]""","""[{'action': 'Check', 'frequency': 100}, {'action': 'Bet 5.45', 'frequency': 0}, {'action': 'All-in 92.5', 'frequency': 0}]""","CO","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.57.png","""[{'rank': '5', 'suit': 'hearts'}, {'rank': '5', 'suit': 'diamonds'}]"""
"58435692","""[{'position': 'UTG', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Call', 'bet_size': None}]""","""[{'rank': '9', 'suit': 'hearts'}, {'rank': '4', 'suit': 'spades'}, {'rank': '2', 'suit': 'clubs'}]""","""[{'action': 'Fold', 'frequency': 0}, {'action': 'Call', 'frequency': 93.8}, {'action': 'Raise 6.35', 'frequency': 6.1}, {'action': 'Raise 10.9', 'frequency': 0.1}, {'action': 'All-in 97.5', 'frequency': 0}]""","UTG","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.21.png","""[{'rank': 'Q', 'suit': 'diamonds'}, {'rank': 'T', 'suit': 'hearts'}]"""
"66653524","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'Q', 'suit': 'spades'}, {'rank': '9', 'suit': 'clubs'}, {'rank': '4', 'suit': 'hearts'}]""","""[{'action': 'Check', 'frequency': 98.9}, {'action': 'Bet 1.8', 'frequency': 1.1}]""","BB","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.19.54.png","""[{'rank': 'Q', 'suit': 'diamonds'}, {'rank': 'T', 'suit': 'clubs'}]"""
"19805389","""[{'position': 'UTG', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'HJ', 'action': 'Call', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 7.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'UTG', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'K', 'suit': 'hearts'}, {'rank': 'T', 'suit': 'diamonds'}, {'rank': '8', 'suit': 'spades'}]""","""[{'action': 'Check', 'frequency': 20}, {'action': 'Bet 5.45', 'frequency': 63.1}, {'action': 'Bet 8.25', 'frequency': 16.5}, {'action': 'Bet 12.4', 'frequency': 0.4}, {'action': 'Bet 20.6', 'frequency': 0}, {'action': 'All-in 92.5', 'frequency': 0}]""","BTN","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.20.57.png","""[{'rank': 'Q', 'suit': 'spades'}, {'rank': 'J', 'suit': 'clubs'}]"""
"21996957","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Raise', 'bet_size': 12}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 22}, {'position': 'SB', 'action': 'Call', 'bet_size': 22}]""","""[{'rank': '7', 'suit': 'diamonds'}, {'rank': '6', 'suit': 'spades'}, {'rank': '5', 'suit': 'hearts'}]""","""[{'action': 'Check', 'frequency': 1.7}, {'action': 'Bet 4.5', 'frequency': 68.4}, {'action': 'Bet 11.25', 'frequency': 29.7}, {'action': 'Bet 22.5', 'frequency': 0.2}, {'action': 'Bet 33.75', 'frequency': 0}, {'action': 'Bet 45', 'frequency': 0}, {'action': 'All-in 78', 'frequency': 0}]""","HJ","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.16.37.png","""[{'rank': 'A', 'suit': 'clubs'}, {'rank': 'Q', 'suit': 'hearts'}]"""
"47689471","""[{'position': 'UTG', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Call', 'bet_size': 2.5}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}]""","""[{'rank': '7', 'suit': 'hearts'}, {'rank': '3', 'suit': 'spades'}, {'rank': '3', 'suit': 'clubs'}]""","""[{'action': 'Check', 'frequency': 100}, {'action': 'Bet 2', 'frequency': 0}, {'action': 'All-in 97.5', 'frequency': 0}]""","SB","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.20.22.png","""[{'rank': 'J', 'suit': 'spades'}, {'rank': 'J', 'suit': 'clubs'}]"""
"43952271","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'BTN', 'action': 'Call', 'bet_size': None}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}]""","""[{'rank': '4', 'suit': 'hearts'}, {'rank': '2', 'suit': 'spades'}, {'rank': '2', 'suit': 'diamonds'}]""","""[{'action': 'Check', 'frequency': 99.2}, {'action': 'Bet 2.15', 'frequency': 0}, {'action': 'Bet 3.25', 'frequency': 0.2}, {'action': 'Bet 4.9', 'frequency': 0.4}, {'action': 'Bet 8.1', 'frequency': 0.2}, {'action': 'All-in 97.5', 'frequency': 0}]""","CO","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.19.43.png","""[{'rank': '8', 'suit': 'spades'}, {'rank': '7', 'suit': 'clubs'}]"""
"96972516","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'CO', 'action': 'Call', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Raise', 'bet_size': 10}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Call', 'bet_size': None}, {'position': 'SB', 'action': 'Bet', 'bet_size': 21}]""","""[{'rank': '8', 'suit': 'hearts'}, {'rank': '7', 'suit': 'diamonds'}, {'rank': '3', 'suit': 'clubs'}]""","""[{'action': 'Check', 'frequency': 20}, {'action': 'Bet 4.2', 'frequency': 0.4}, {'action': 'Bet 6.95', 'frequency': 1}, {'action': 'Bet 10.5', 'frequency': 26.8}, {'action': 'Bet 15.75', 'frequency': 51.8}, {'action': 'Bet 26.25', 'frequency': 0}, {'action': 'All-in', 'frequency': 0}]""","SB","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.29.png","""[{'rank': 'K', 'suit': 'clubs'}, {'rank': 'K', 'suit': 'spades'}]"""
"91049211","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 100}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 7.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 22}, {'position': 'BTN', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'A', 'suit': 'hearts'}, {'rank': 'T', 'suit': 'hearts'}, {'rank': '3', 'suit': 'clubs'}]""","""[{'action': 'Check', 'frequency': 10.4}, {'action': 'Bet 4.55', 'frequency': 54.4}, {'action': 'Bet 11.4', 'frequency': 34.7}, {'action': 'Bet 22.75', 'frequency': 0.5}, {'action': 'Bet 34.1', 'frequency': 0}, {'action': 'All-in 78', 'frequency': 0}]""","BTN","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.06.png","""[{'rank': 'Q', 'suit': 'clubs'}, {'rank': 'Q', 'suit': 'spades'}]"""
"80363857","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Call', 'bet_size': 0.5}, {'position': 'BB', 'action': 'Raise', 'bet_size': 3}, {'position': 'SB', 'action': 'Call', 'bet_size': 3}]""","""[{'rank': '9', 'suit': 'spades'}, {'rank': '9', 'suit': 'hearts'}, {'rank': '5', 'suit': 'hearts'}]""","""[{'action': 'Fold', 'frequency': 96.3}, {'action': 'Call', 'frequency': 1.3}, {'action': 'Raise 7', 'frequency': 2.4}, {'action': 'Raise 12', 'frequency': 0}, {'action': 'All-in 97', 'frequency': 0}]""","BB","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.18.44.png","""[{'rank': 'Q', 'suit': 'clubs'}, {'rank': '4', 'suit': 'hearts'}]"""
"64801849","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Raise', 'bet_size': 12}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 22}, {'position': 'SB', 'action': 'Call', 'bet_size': None}]""","""[{'rank': '7', 'suit': 'diamonds'}, {'rank': '6', 'suit': 'hearts'}, {'rank': '5', 'suit': 'diamonds'}]""","""[{'action': 'Check', 'frequency': 1.7}, {'action': 'Bet 4.5', 'frequency': 68.4}, {'action': 'Bet 11.25', 'frequency': 29.7}, {'action': 'Bet 22.5', 'frequency': 0.2}, {'action': 'Bet 33.75', 'frequency': 0}, {'action': 'Bet 45', 'frequency': 0}, {'action': 'All-in 78', 'frequency': 0}]""","HJ","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.16.37.png","""[{'rank': 'A', 'suit': 'clubs'}, {'rank': 'Q', 'suit': 'hearts'}]"""
"34120682","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'SB', 'action': 'Raise', 'bet_size': 10}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 22}, {'position': 'SB', 'action': 'Call', 'bet_size': None}, {'position': None, 'action': 'Flop', 'bet_size': 45}, {'position': 'SB', 'action': 'Check', 'bet_size': None}]""","""[{'rank': 'K', 'suit': 'hearts'}, {'rank': 'J', 'suit': 'diamonds'}, {'rank': '9', 'suit': 'hearts'}]""","""[{'action': 'Check', 'frequency': 5.7}, {'action': 'Bet 4.5', 'frequency': 10.3}, {'action': 'Bet 11.25', 'frequency': 83.7}, {'action': 'Bet 22.5', 'frequency': 0.3}, {'action': 'Bet 33.75', 'frequency': 0}, {'action': 'Bet 45', 'frequency': 0}, {'action': 'All-in', 'frequency': 0}]""","BTN","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.18.12.png","""[{'rank': 'A', 'suit': 'clubs'}, {'rank': 'T', 'suit': 'spades'}]"""
"74352746","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Raise', 'bet_size': 11}, {'position': 'CO', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'T', 'suit': 'hearts'}, {'rank': '7', 'suit': 'diamonds'}, {'rank': '3', 'suit': 'hearts'}]""","""[{'action': 'Fold', 'frequency': 2.5}, {'action': 'Call', 'frequency': 96.9}, {'action': 'Raise 27', 'frequency': 0.6}, {'action': 'Raise 36', 'frequency': 0.0}, {'action': 'Raise 48.6', 'frequency': 0.0}, {'action': 'All-in 89', 'frequency': 0.0}]""","CO","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.40.png","""[{'rank': 'A', 'suit': 'hearts'}, {'rank': 'J', 'suit': 'hearts'}]"""
"42701920","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 2}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Raise', 'bet_size': 9}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 21}, {'position': 'SB', 'action': 'Raise', 'bet_size': 40}, {'position': 'HJ', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'A', 'suit': 'diamonds'}, {'rank': 'T', 'suit': 'hearts'}, {'rank': '9', 'suit': 'spades'}]""","""[{'action': 'Check', 'frequency': 64.7}, {'action': 'Bet 16.2', 'frequency': 35.3}, {'action': 'Bet 26.75', 'frequency': 0}, {'action': 'Bet 40.5', 'frequency': 0}, {'action': 'All-in 60', 'frequency': 0}]""","HJ","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.20.39.png","""[{'rank': '8', 'suit': 'clubs'}, {'rank': '8', 'suit': 'spades'}]"""
"0","","","","","","","","","","",""
"40167487","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 2}, {'position': 'CO', 'action': 'Fold', 'bet_size': None}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 7.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Raise', 'bet_size': 20}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 33.3}, {'position': 'HJ', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'Q', 'suit': 'clubs'}, {'rank': '6', 'suit': 'hearts'}, {'rank': '6', 'suit': 'spades'}]""","""[{'action': 'Check', 'frequency': 100}, {'action': 'Bet 17', 'frequency': 0}, {'action': 'All-in 66.7', 'frequency': 0}]""","HJ","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.21.48.png","""[{'rank': 'J', 'suit': 'spades'}, {'rank': 'J', 'suit': 'clubs'}]"""
"36811945","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 2.5}, {'position': 'BTN', 'action': 'Raise', 'bet_size': 7.5}, {'position': 'SB', 'action': 'Fold', 'bet_size': None}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 22}, {'position': 'BTN', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'J', 'suit': 'diamonds'}, {'rank': 'T', 'suit': 'hearts'}, {'rank': '7', 'suit': 'spades'}]""","""[{'action': 'Check', 'frequency': 28.1}, {'action': 'Bet 4.55', 'frequency': 6.6}, {'action': 'Bet 11.4', 'frequency': 9.4}, {'action': 'Bet 22.75', 'frequency': 39.9}, {'action': 'Bet 34.1', 'frequency': 4.8}, {'action': 'All-in 78', 'frequency': 11.2}]""","CO","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.19.12.png","""[{'rank': 'K', 'suit': 'spades'}, {'rank': 'T', 'suit': 'clubs'}]"""
"27027717","""[{'position': 'UTG', 'action': 'Fold', 'bet_size': None}, {'position': 'HJ', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 2.3}, {'position': 'BTN', 'action': 'Fold', 'bet_size': None}, {'position': 'SB', 'action': 'Raise', 'bet_size': 10}, {'position': 'BB', 'action': 'Fold', 'bet_size': None}, {'position': 'CO', 'action': 'Raise', 'bet_size': 21.1}, {'position': 'SB', 'action': 'Raise', 'bet_size': 38}, {'position': 'CO', 'action': 'Call', 'bet_size': None}]""","""[{'rank': 'K', 'suit': 'clubs'}, {'rank': '7', 'suit': 'spades'}, {'rank': '6', 'suit': 'spades'}]""","""[{'action': 'Check', 'frequency': 64.5}, {'action': 'Bet 15.4', 'frequency': 35.5}, {'action': 'Bet 25.4', 'frequency': 0}, {'action': 'Bet 38.5', 'frequency': 0}, {'action': 'All-in 62', 'frequency': 0}]""","SB","null","null","null","null","null","https://poker-image-bucket.s3.us-east-1.amazonaws.com/poker_image/截屏2024-12-13 上午7.20.45.png","""[{'rank': 'A', 'suit': 'clubs'}, {'rank': 'T', 'suit': 'spades'}]"""